p,instanceCount
http://dbpedia.org/property/city,159917
http://dbpedia.org/property/nationalteam,159756
http://dbpedia.org/property/youthclubs,159412
http://dbpedia.org/property/elevationM,156677
http://dbpedia.org/property/refnum,155146
http://dbpedia.org/ontology/birthName,154083
http://dbpedia.org/property/p,153341
http://dbpedia.org/property/director,150130
http://dbpedia.org/property/children,149624
http://dbpedia.org/property/last,147544
http://dbpedia.org/ontology/originalName,147414
http://dbpedia.org/property/yearsActive,146902
http://dbpedia.org/ontology/family,146353
http://dbpedia.org/property/unitPref,144550
http://dbpedia.org/property/rd3Score,143336
http://dbpedia.org/property/status,143137
http://dbpedia.org/property/note,142011
http://dbpedia.org/ontology/areaCode,141024
http://dbpedia.org/property/nationalyears,140916
http://dbpedia.org/property/awards,140390
http://dbpedia.org/property/areaTotalKm,140109
http://dbpedia.org/ontology/battle,138036
http://dbpedia.org/property/nationalcaps,137113
http://www.w3.org/2002/07/owl#differentFrom,135890
http://dbpedia.org/property/nat,135881
http://dbpedia.org/ontology/writer,135121
http://dbpedia.org/ontology/nationality,134944
http://dbpedia.org/property/rd2Seed,132942
http://dbpedia.org/property/mile,130905
http://dbpedia.org/ontology/Work/runtime,130619
http://dbpedia.org/ontology/runtime,130619
http://dbpedia.org/property/postalCodeType,129184
http://dbpedia.org/property/leaderTitle,127104
http://dbpedia.org/property/logo,126875
http://dbpedia.org/property/num,126084
http://dbpedia.org/property/education,125634
http://dbpedia.org/property/nextYear,125212
http://dbpedia.org/ontology/formerTeam,124079
http://dbpedia.org/property/points,123426
http://dbpedia.org/ontology/deathYear,123293
http://dbpedia.org/property/leaderName,122919
http://dbpedia.org/ontology/order,122038
http://dbpedia.org/ontology/personName,121921
http://dbpedia.org/property/region,121875
http://dbpedia.org/property/areaCode,121605
http://dbpedia.org/property/manageryears,121405
http://dbpedia.org/property/music,121366
http://dbpedia.org/ontology/class,121121
http://dbpedia.org/property/state,119423
http://dbpedia.org/property/season,119412
http://dbpedia.org/property/imageSkyline,119328
http://dbpedia.org/property/event,118632
http://dbpedia.org/property/rd,118466
http://dbpedia.org/property/battles,117723
http://dbpedia.org/ontology/recordLabel,117103
http://dbpedia.org/property/associatedActs,114733
http://dbpedia.org/property/alt,113977
http://dbpedia.org/property/originalairdate,113974
http://dbpedia.org/property/knownFor,113770
http://dbpedia.org/property/width,113435
http://dbpedia.org/property/managerclubs,113366
http://dbpedia.org/property/height,112674
http://dbpedia.org/property/episodenumber,112379
http://dbpedia.org/property/youthyears,112204
http://dbpedia.org/ontology/associatedBand,110792
http://dbpedia.org/ontology/associatedMusicalArtist,110792
http://dbpedia.org/property/studio,110684
http://dbpedia.org/ontology/leaderTitle,110075
http://dbpedia.org/property/nationalgoals,109387
http://dbpedia.org/ontology/politicalLeader,108390
http://dbpedia.org/property/sport,108262
http://dbpedia.org/ontology/city,105788
http://dbpedia.org/property/article,105385
http://dbpedia.org/property/owner,104597
http://dbpedia.org/property/familia,103505
http://dbpedia.org/property/runtime,103433
http://dbpedia.org/property/classis,102997
http://dbpedia.org/property/penalties,102111
http://dbpedia.org/property/imageMap,101915
http://dbpedia.org/ontology/phylum,100913
http://dbpedia.org/property/cover,100616
http://dbpedia.org/property/nativeNameLang,99606
http://dbpedia.org/property/result,99329
http://dbpedia.org/ontology/kingdom,99326
http://dbpedia.org/ontology/foundingYear,98923
http://dbpedia.org/property/regnum,98609
http://dbpedia.org/property/phylum,98102
http://dbpedia.org/property/url,96356
http://dbpedia.org/ontology/PopulatedPlace/populationDensity,95215
http://dbpedia.org/ontology/populationDensity,95215
http://dbpedia.org/property/nextTitle,95209
http://dbpedia.org/property/prevYear,94916
http://dbpedia.org/ontology/education,94433
http://dbpedia.org/property/prevTitle,93960
http://dbpedia.org/property/mapsize,93911
http://dbpedia.org/ontology/producer,93188
http://dbpedia.org/property/source,92011
http://dbpedia.org/property/ordo,91945
http://dbpedia.org/property/currentclub,91545
http://dbpedia.org/ontology/areaLand,91420
http://dbpedia.org/ontology/weight,91241
http://dbpedia.org/ontology/releaseDate,91231
http://dbpedia.org/ontology/director,90620
http://dbpedia.org/ontology/language,90423
http://dbpedia.org/property/number,88495
http://dbpedia.org/property/college,87023
http://dbpedia.org/ontology/managerClub,86878
http://dbpedia.org/property/league,86395
http://dbpedia.org/property/shortsummary,85448
http://dbpedia.org/property/runs,85323
http://dbpedia.org/property/blankName,85160
http://dbpedia.org/ontology/synonym,84182
http://dbpedia.org/property/rd4Team,84011
http://dbpedia.org/property/rd4Score,83328
http://dbpedia.org/property/conference,82792
http://dbpedia.org/property/cinematography,82647
http://dbpedia.org/property/publisher,82439
http://dbpedia.org/property/rd3Seed,82376
http://dbpedia.org/property/keyPeople,81956
http://dbpedia.org/property/imagesize,81685
http://dbpedia.org/ontology/Person/weight,81353
http://dbpedia.org/property/venue,81229
http://dbpedia.org/ontology/address,81070
http://dbpedia.org/property/established,80390
http://dbpedia.org/ontology/number,79744
http://dbpedia.org/property/distributor,79666
http://dbpedia.org/property/wickets,78845
http://dbpedia.org/property/s,77967
http://dbpedia.org/property/area,77889
http://dbpedia.org/property/h,77490
http://dbpedia.org/property/binomial,77259
