p
http://www.w3.org/1999/02/22-rdf-syntax-ns#type
http://www.w3.org/2000/01/rdf-schema#subPropertyOf
http://www.w3.org/2000/01/rdf-schema#subClassOf
http://www.w3.org/2000/01/rdf-schema#domain
http://www.w3.org/2000/01/rdf-schema#range
http://www.w3.org/2002/07/owl#sameAs
http://proton.semanticweb.org/protonsys#transitiveOver
http://www.w3.org/2002/07/owl#inverseOf
http://www.w3.org/2000/01/rdf-schema#label
http://www.w3.org/2000/01/rdf-schema#seeAlso
http://www.w3.org/2002/07/owl#differentFrom
http://www.w3.org/2003/01/geo/wgs84_pos#lat
http://www.w3.org/2003/01/geo/wgs84_pos#long
http://purl.org/dc/terms/subject
http://www.w3.org/2004/02/skos/core#broader
http://www.w3.org/2004/02/skos/core#prefLabel
http://www.w3.org/2004/02/skos/core#related
http://www.georss.org/georss/point
http://dbpedia.org/ontology/location
http://dbpedia.org/ontology/restingPlacePosition
http://dbpedia.org/property/!Style
http://dbpedia.org/property/!colspan
http://dbpedia.org/property/!p
http://dbpedia.org/property/%23FuelAssemblies
http://dbpedia.org/property/%23OfOperators
http://dbpedia.org/property/%23OfStaff
http://dbpedia.org/property/%23OfStrikes
http://dbpedia.org/property/%23OfTicketsSold
http://dbpedia.org/property/%23Servings
http://dbpedia.org/property/%23byelections
http://dbpedia.org/property/%23teamWidth
http://dbpedia.org/property/%3C/nowiki%3EBlank2InfoSec
http://dbpedia.org/property/%3C/nowiki%3EGoals
http://dbpedia.org/property/%3C/nowiki%3EImage
http://dbpedia.org/property/%3C/nowiki%3EImageCaption
http://dbpedia.org/property/%3C/nowiki%3EImageWidth
http://dbpedia.org/property/%3C/nowiki%3EIsoCode
http://dbpedia.org/property/%3C/nowiki%3EManageryears
http://dbpedia.org/property/%3C/nowiki%3ENtupdate
http://dbpedia.org/property/%3C/nowiki%3ERegnum
http://dbpedia.org/property/%3C/nowiki%3ETotalcaps
http://dbpedia.org/property/%3C/nowiki%3ETotalgoals
http://dbpedia.org/property/%3C/nowiki%3EWebsite
http://dbpedia.org/property/%3C/nowiki%3Enfl
http://dbpedia.org/property/%3C/nowiki%3Estatlabel
http://dbpedia.org/property/%3C/nowiki%3Estatvalue
http://dbpedia.org/property/%3C/refName
http://dbpedia.org/property/%3Cbig%3Et
http://dbpedia.org/property/%3Cbr/%3EFilter
http://dbpedia.org/property/%3Cbr/%3Ep
http://dbpedia.org/property/%3Cnowiki%3E%22kimi
